query_id,stage,scenario,k_true_actual_sources,k_target_collapsed_unknown,known_parent_count,unknown_parent_count,known_parent_ids,unknown_parent_ids_private,evaluation_parent_labels,component_count,code_count,structured_count,image_count
Q11A0043,ROBUSTNESS_MULTI_UNKNOWN,MU_2K2U,4,3,2,2,"[""FMOD0004"", ""FMOD0060""]","[""FMOD0048"", ""FMOD0090""]","[""FMOD0004"", ""FMOD0060"", ""UNKNOWN""]",7,5,1,1
Q11A0044,ROBUSTNESS_MULTI_UNKNOWN,MU_2K2U,4,3,2,2,"[""FMOD0011"", ""FMOD0096""]","[""FMOD0028"", ""FMOD0094""]","[""FMOD0011"", ""FMOD0096"", ""UNKNOWN""]",7,5,1,1
Q11A0045,ROBUSTNESS_MULTI_UNKNOWN,MU_2K2U,4,3,2,2,"[""FMOD0022"", ""FMOD0069""]","[""FMOD0006"", ""FMOD0046""]","[""FMOD0022"", ""FMOD0069"", ""UNKNOWN""]",7,5,1,1
Q11A0046,ROBUSTNESS_MULTI_UNKNOWN,MU_2K2U,4,3,2,2,"[""FMOD0035"", ""FMOD0036""]","[""FMOD0068"", ""FMOD0094""]","[""FMOD0035"", ""FMOD0036"", ""UNKNOWN""]",7,5,1,1
Q11A0047,ROBUSTNESS_MULTI_UNKNOWN,MU_2K2U,4,3,2,2,"[""FMOD0036"", ""FMOD0069""]","[""FMOD0027"", ""FMOD0046""]","[""FMOD0036"", ""FMOD0069"", ""UNKNOWN""]",7,5,1,1
Q11A0048,ROBUSTNESS_MULTI_UNKNOWN,MU_2K2U,4,3,2,2,"[""FMOD0003"", ""FMOD0055""]","[""FMOD0046"", ""FMOD0084""]","[""FMOD0003"", ""FMOD0055"", ""UNKNOWN""]",7,5,1,1
Q11A0049,ROBUSTNESS_MULTI_UNKNOWN,MU_2K2U,4,3,2,2,"[""FMOD0035"", ""FMOD0083""]","[""FMOD0007"", ""FMOD0046""]","[""FMOD0035"", ""FMOD0083"", ""UNKNOWN""]",7,5,1,1
Q11A0050,ROBUSTNESS_MULTI_UNKNOWN,MU_2K2U,4,3,2,2,"[""FMOD0066"", ""FMOD0083""]","[""FMOD0006"", ""FMOD0009""]","[""FMOD0066"", ""FMOD0083"", ""UNKNOWN""]",7,5,1,1
Q11A0051,ROBUSTNESS_MULTI_UNKNOWN,MU_2K2U,4,3,2,2,"[""FMOD0001"", ""FMOD0077""]","[""FMOD0006"", ""FMOD0084""]","[""FMOD0001"", ""FMOD0077"", ""UNKNOWN""]",7,5,1,1
Q11A0052,ROBUSTNESS_MULTI_UNKNOWN,MU_2K2U,4,3,2,2,"[""FMOD0055"", ""FMOD0096""]","[""FMOD0028"", ""FMOD0085""]","[""FMOD0055"", ""FMOD0096"", ""UNKNOWN""]",7,5,1,1
Q11A0053,ROBUSTNESS_MULTI_UNKNOWN,MU_2K2U,4,3,2,2,"[""FMOD0067"", ""FMOD0099""]","[""FMOD0068"", ""FMOD0085""]","[""FMOD0067"", ""FMOD0099"", ""UNKNOWN""]",7,5,1,1
Q11A0054,ROBUSTNESS_MULTI_UNKNOWN,MU_2K2U,4,3,2,2,"[""FMOD0035"", ""FMOD0089""]","[""FMOD0007"", ""FMOD0046""]","[""FMOD0035"", ""FMOD0089"", ""UNKNOWN""]",7,5,1,1
Q11A0055,ROBUSTNESS_MULTI_UNKNOWN,MU_2K2U,4,3,2,2,"[""FMOD0005"", ""FMOD0089""]","[""FMOD0007"", ""FMOD0085""]","[""FMOD0005"", ""FMOD0089"", ""UNKNOWN""]",7,5,1,1
Q11A0056,ROBUSTNESS_MULTI_UNKNOWN,MU_2K2U,4,3,2,2,"[""FMOD0016"", ""FMOD0051""]","[""FMOD0070"", ""FMOD0094""]","[""FMOD0016"", ""FMOD0051"", ""UNKNOWN""]",7,5,1,1
Q11A0057,ROBUSTNESS_MULTI_UNKNOWN,MU_2K2U,4,3,2,2,"[""FMOD0005"", ""FMOD0087""]","[""FMOD0006"", ""FMOD0085""]","[""FMOD0005"", ""FMOD0087"", ""UNKNOWN""]",7,5,1,1
Q11A0058,ROBUSTNESS_MULTI_UNKNOWN,MU_2K2U,4,3,2,2,"[""FMOD0035"", ""FMOD0053""]","[""FMOD0062"", ""FMOD0084""]","[""FMOD0035"", ""FMOD0053"", ""UNKNOWN""]",7,5,1,1
Q11A0059,ROBUSTNESS_MULTI_UNKNOWN,MU_2K2U,4,3,2,2,"[""FMOD0016"", ""FMOD0053""]","[""FMOD0007"", ""FMOD0068""]","[""FMOD0016"", ""FMOD0053"", ""UNKNOWN""]",7,5,1,1
Q11A0060,ROBUSTNESS_MULTI_UNKNOWN,MU_2K2U,4,3,2,2,"[""FMOD0050"", ""FMOD0077""]","[""FMOD0084"", ""FMOD0090""]","[""FMOD0050"", ""FMOD0077"", ""UNKNOWN""]",7,5,1,1
Q11A0061,ROBUSTNESS_MULTI_UNKNOWN,MU_1K3U,4,2,1,3,"[""FMOD0067""]","[""FMOD0046"", ""FMOD0054"", ""FMOD0070""]","[""FMOD0067"", ""UNKNOWN""]",7,5,1,1
Q11A0062,ROBUSTNESS_MULTI_UNKNOWN,MU_1K3U,4,2,1,3,"[""FMOD0011""]","[""FMOD0006"", ""FMOD0090"", ""FMOD0094""]","[""FMOD0011"", ""UNKNOWN""]",7,5,1,1
Q11A0063,ROBUSTNESS_MULTI_UNKNOWN,MU_1K3U,4,2,1,3,"[""FMOD0003""]","[""FMOD0009"", ""FMOD0054"", ""FMOD0084""]","[""FMOD0003"", ""UNKNOWN""]",7,5,1,1
Q11A0064,ROBUSTNESS_MULTI_UNKNOWN,MU_1K3U,4,2,1,3,"[""FMOD0005""]","[""FMOD0028"", ""FMOD0046"", ""FMOD0094""]","[""FMOD0005"", ""UNKNOWN""]",7,5,1,1
Q11A0065,ROBUSTNESS_MULTI_UNKNOWN,MU_1K3U,4,2,1,3,"[""FMOD0055""]","[""FMOD0006"", ""FMOD0062"", ""FMOD0094""]","[""FMOD0055"", ""UNKNOWN""]",7,5,1,1
Q11A0066,ROBUSTNESS_MULTI_UNKNOWN,MU_1K3U,4,2,1,3,"[""FMOD0060""]","[""FMOD0062"", ""FMOD0084"", ""FMOD0090""]","[""FMOD0060"", ""UNKNOWN""]",7,5,1,1
Q11A0067,ROBUSTNESS_MULTI_UNKNOWN,MU_1K3U,4,2,1,3,"[""FMOD0096""]","[""FMOD0027"", ""FMOD0068"", ""FMOD0090""]","[""FMOD0096"", ""UNKNOWN""]",7,5,1,1
Q11A0068,ROBUSTNESS_MULTI_UNKNOWN,MU_1K3U,4,2,1,3,"[""FMOD0089""]","[""FMOD0028"", ""FMOD0054"", ""FMOD0094""]","[""FMOD0089"", ""UNKNOWN""]",7,5,1,1
Q11A0069,ROBUSTNESS_MULTI_UNKNOWN,MU_1K3U,4,2,1,3,"[""FMOD0096""]","[""FMOD0006"", ""FMOD0046"", ""FMOD0085""]","[""FMOD0096"", ""UNKNOWN""]",7,5,1,1
Q11A0070,ROBUSTNESS_MULTI_UNKNOWN,MU_1K3U,4,2,1,3,"[""FMOD0025""]","[""FMOD0028"", ""FMOD0054"", ""FMOD0085""]","[""FMOD0025"", ""UNKNOWN""]",7,5,1,1
Q11A0071,ROBUSTNESS_MULTI_UNKNOWN,MU_1K3U,4,2,1,3,"[""FMOD0016""]","[""FMOD0006"", ""FMOD0028"", ""FMOD0046""]","[""FMOD0016"", ""UNKNOWN""]",7,5,1,1
Q11A0072,ROBUSTNESS_MULTI_UNKNOWN,MU_1K3U,4,2,1,3,"[""FMOD0023""]","[""FMOD0046"", ""FMOD0048"", ""FMOD0068""]","[""FMOD0023"", ""UNKNOWN""]",7,5,1,1
Q11A0073,ROBUSTNESS_MULTI_UNKNOWN,MU_1K3U,4,2,1,3,"[""FMOD0022""]","[""FMOD0006"", ""FMOD0070"", ""FMOD0085""]","[""FMOD0022"", ""UNKNOWN""]",7,5,1,1
Q11A0074,ROBUSTNESS_MULTI_UNKNOWN,MU_1K3U,4,2,1,3,"[""FMOD0069""]","[""FMOD0028"", ""FMOD0054"", ""FMOD0068""]","[""FMOD0069"", ""UNKNOWN""]",7,5,1,1
Q11A0075,ROBUSTNESS_MULTI_UNKNOWN,MU_1K3U,4,2,1,3,"[""FMOD0067""]","[""FMOD0046"", ""FMOD0048"", ""FMOD0070""]","[""FMOD0067"", ""UNKNOWN""]",7,5,1,1
Q11A0076,ROBUSTNESS_MULTI_UNKNOWN,MU_1K3U,4,2,1,3,"[""FMOD0099""]","[""FMOD0007"", ""FMOD0009"", ""FMOD0070""]","[""FMOD0099"", ""UNKNOWN""]",7,5,1,1
Q11A0077,ROBUSTNESS_MULTI_UNKNOWN,MU_1K3U,4,2,1,3,"[""FMOD0050""]","[""FMOD0028"", ""FMOD0062"", ""FMOD0085""]","[""FMOD0050"", ""UNKNOWN""]",7,5,1,1
Q11A0078,ROBUSTNESS_MULTI_UNKNOWN,MU_1K3U,4,2,1,3,"[""FMOD0066""]","[""FMOD0006"", ""FMOD0048"", ""FMOD0090""]","[""FMOD0066"", ""UNKNOWN""]",7,5,1,1
Q11A0079,ROBUSTNESS_MULTI_UNKNOWN,MU_1K3U,4,2,1,3,"[""FMOD0074""]","[""FMOD0009"", ""FMOD0068"", ""FMOD0090""]","[""FMOD0074"", ""UNKNOWN""]",7,5,1,1
Q11A0080,ROBUSTNESS_MULTI_UNKNOWN,MU_1K3U,4,2,1,3,"[""FMOD0050""]","[""FMOD0027"", ""FMOD0046"", ""FMOD0085""]","[""FMOD0050"", ""UNKNOWN""]",7,5,1,1
Q11A0081,ROBUSTNESS_MULTI_UNKNOWN,MU_1K3U,4,2,1,3,"[""FMOD0099""]","[""FMOD0006"", ""FMOD0028"", ""FMOD0048""]","[""FMOD0099"", ""UNKNOWN""]",7,5,1,1
Q11A0082,ROBUSTNESS_MULTI_UNKNOWN,MU_1K3U,4,2,1,3,"[""FMOD0053""]","[""FMOD0027"", ""FMOD0028"", ""FMOD0046""]","[""FMOD0053"", ""UNKNOWN""]",7,5,1,1
Q11A0083,ROBUSTNESS_MULTI_UNKNOWN,MU_1K3U,4,2,1,3,"[""FMOD0035""]","[""FMOD0046"", ""FMOD0048"", ""FMOD0062""]","[""FMOD0035"", ""UNKNOWN""]",7,5,1,1
Q11A0084,ROBUSTNESS_MULTI_UNKNOWN,MU_1K3U,4,2,1,3,"[""FMOD0036""]","[""FMOD0009"", ""FMOD0046"", ""FMOD0090""]","[""FMOD0036"", ""UNKNOWN""]",7,5,1,1
Q11A0085,ROBUSTNESS_MULTI_UNKNOWN,MU_1K3U,4,2,1,3,"[""FMOD0096""]","[""FMOD0009"", ""FMOD0054"", ""FMOD0084""]","[""FMOD0096"", ""UNKNOWN""]",7,5,1,1
Q11A0086,ROBUSTNESS_MULTI_UNKNOWN,MU_1K3U,4,2,1,3,"[""FMOD0077""]","[""FMOD0048"", ""FMOD0054"", ""FMOD0090""]","[""FMOD0077"", ""UNKNOWN""]",7,5,1,1
Q11A0087,ROBUSTNESS_MULTI_UNKNOWN,MU_1K3U,4,2,1,3,"[""FMOD0083""]","[""FMOD0006"", ""FMOD0007"", ""FMOD0054""]","[""FMOD0083"", ""UNKNOWN""]",7,5,1,1
Q11A0088,ROBUSTNESS_MULTI_UNKNOWN,MU_1K3U,4,2,1,3,"[""FMOD0050""]","[""FMOD0007"", ""FMOD0054"", ""FMOD0062""]","[""FMOD0050"", ""UNKNOWN""]",7,5,1,1
Q11A0089,ROBUSTNESS_MULTI_UNKNOWN,MU_1K3U,4,2,1,3,"[""FMOD0044""]","[""FMOD0028"", ""FMOD0048"", ""FMOD0062""]","[""FMOD0044"", ""UNKNOWN""]",7,5,1,1
Q11A0090,ROBUSTNESS_MULTI_UNKNOWN,MU_1K3U,4,2,1,3,"[""FMOD0005""]","[""FMOD0009"", ""FMOD0085"", ""FMOD0090""]","[""FMOD0005"", ""UNKNOWN""]",7,5,1,1
Q11A0091,ROBUSTNESS_MULTI_UNKNOWN,MU_2K3U,5,3,2,3,"[""FMOD0023"", ""FMOD0025""]","[""FMOD0006"", ""FMOD0027"", ""FMOD0046""]","[""FMOD0023"", ""FMOD0025"", ""UNKNOWN""]",7,5,1,1
Q11A0092,ROBUSTNESS_MULTI_UNKNOWN,MU_2K3U,5,3,2,3,"[""FMOD0061"", ""FMOD0089""]","[""FMOD0007"", ""FMOD0062"", ""FMOD0090""]","[""FMOD0061"", ""FMOD0089"", ""UNKNOWN""]",7,5,1,1
Q11A0093,ROBUSTNESS_MULTI_UNKNOWN,MU_2K3U,5,3,2,3,"[""FMOD0077"", ""FMOD0083""]","[""FMOD0007"", ""FMOD0046"", ""FMOD0048""]","[""FMOD0077"", ""FMOD0083"", ""UNKNOWN""]",7,5,1,1
Q11A0094,ROBUSTNESS_MULTI_UNKNOWN,MU_2K3U,5,3,2,3,"[""FMOD0011"", ""FMOD0087""]","[""FMOD0009"", ""FMOD0084"", ""FMOD0090""]","[""FMOD0011"", ""FMOD0087"", ""UNKNOWN""]",7,5,1,1
Q11A0095,ROBUSTNESS_MULTI_UNKNOWN,MU_2K3U,5,3,2,3,"[""FMOD0040"", ""FMOD0074""]","[""FMOD0007"", ""FMOD0062"", ""FMOD0070""]","[""FMOD0040"", ""FMOD0074"", ""UNKNOWN""]",7,5,1,1
Q11A0096,ROBUSTNESS_MULTI_UNKNOWN,MU_2K3U,5,3,2,3,"[""FMOD0043"", ""FMOD0074""]","[""FMOD0046"", ""FMOD0068"", ""FMOD0070""]","[""FMOD0043"", ""FMOD0074"", ""UNKNOWN""]",7,5,1,1
Q11A0097,ROBUSTNESS_MULTI_UNKNOWN,MU_2K3U,5,3,2,3,"[""FMOD0016"", ""FMOD0044""]","[""FMOD0048"", ""FMOD0068"", ""FMOD0085""]","[""FMOD0016"", ""FMOD0044"", ""UNKNOWN""]",7,5,1,1
Q11A0098,ROBUSTNESS_MULTI_UNKNOWN,MU_2K3U,5,3,2,3,"[""FMOD0003"", ""FMOD0067""]","[""FMOD0027"", ""FMOD0062"", ""FMOD0084""]","[""FMOD0003"", ""FMOD0067"", ""UNKNOWN""]",7,5,1,1
Q11A0099,ROBUSTNESS_MULTI_UNKNOWN,MU_2K3U,5,3,2,3,"[""FMOD0011"", ""FMOD0044""]","[""FMOD0006"", ""FMOD0007"", ""FMOD0068""]","[""FMOD0011"", ""FMOD0044"", ""UNKNOWN""]",7,5,1,1
Q11A0100,ROBUSTNESS_MULTI_UNKNOWN,MU_2K3U,5,3,2,3,"[""FMOD0083"", ""FMOD0099""]","[""FMOD0009"", ""FMOD0068"", ""FMOD0070""]","[""FMOD0083"", ""FMOD0099"", ""UNKNOWN""]",7,5,1,1
Q11A0101,ROBUSTNESS_MULTI_UNKNOWN,MU_2K3U,5,3,2,3,"[""FMOD0040"", ""FMOD0096""]","[""FMOD0028"", ""FMOD0054"", ""FMOD0085""]","[""FMOD0040"", ""FMOD0096"", ""UNKNOWN""]",7,5,1,1
Q11A0102,ROBUSTNESS_MULTI_UNKNOWN,MU_2K3U,5,3,2,3,"[""FMOD0014"", ""FMOD0087""]","[""FMOD0007"", ""FMOD0054"", ""FMOD0090""]","[""FMOD0014"", ""FMOD0087"", ""UNKNOWN""]",7,5,1,1
Q11A0103,ROBUSTNESS_MULTI_UNKNOWN,MU_2K3U,5,3,2,3,"[""FMOD0051"", ""FMOD0086""]","[""FMOD0007"", ""FMOD0048"", ""FMOD0068""]","[""FMOD0051"", ""FMOD0086"", ""UNKNOWN""]",7,5,1,1
Q11A0104,ROBUSTNESS_MULTI_UNKNOWN,MU_2K3U,5,3,2,3,"[""FMOD0036"", ""FMOD0069""]","[""FMOD0027"", ""FMOD0048"", ""FMOD0054""]","[""FMOD0036"", ""FMOD0069"", ""UNKNOWN""]",7,5,1,1
Q11A0105,ROBUSTNESS_MULTI_UNKNOWN,MU_2K3U,5,3,2,3,"[""FMOD0087"", ""FMOD0089""]","[""FMOD0006"", ""FMOD0046"", ""FMOD0070""]","[""FMOD0087"", ""FMOD0089"", ""UNKNOWN""]",7,5,1,1
Q11A0106,ROBUSTNESS_MULTI_UNKNOWN,MU_2K3U,5,3,2,3,"[""FMOD0043"", ""FMOD0044""]","[""FMOD0028"", ""FMOD0062"", ""FMOD0084""]","[""FMOD0043"", ""FMOD0044"", ""UNKNOWN""]",7,5,1,1
Q11A0107,ROBUSTNESS_MULTI_UNKNOWN,MU_2K3U,5,3,2,3,"[""FMOD0022"", ""FMOD0036""]","[""FMOD0028"", ""FMOD0085"", ""FMOD0094""]","[""FMOD0022"", ""FMOD0036"", ""UNKNOWN""]",7,5,1,1
Q11A0108,ROBUSTNESS_MULTI_UNKNOWN,MU_2K3U,5,3,2,3,"[""FMOD0050"", ""FMOD0061""]","[""FMOD0009"", ""FMOD0068"", ""FMOD0090""]","[""FMOD0050"", ""FMOD0061"", ""UNKNOWN""]",7,5,1,1
Q11A0109,ROBUSTNESS_MULTI_UNKNOWN,MU_2K3U,5,3,2,3,"[""FMOD0044"", ""FMOD0067""]","[""FMOD0054"", ""FMOD0084"", ""FMOD0094""]","[""FMOD0044"", ""FMOD0067"", ""UNKNOWN""]",7,5,1,1
Q11A0110,ROBUSTNESS_MULTI_UNKNOWN,MU_2K3U,5,3,2,3,"[""FMOD0023"", ""FMOD0036""]","[""FMOD0009"", ""FMOD0062"", ""FMOD0070""]","[""FMOD0023"", ""FMOD0036"", ""UNKNOWN""]",7,5,1,1
Q11A0111,ROBUSTNESS_MULTI_UNKNOWN,MU_2K3U,5,3,2,3,"[""FMOD0025"", ""FMOD0060""]","[""FMOD0068"", ""FMOD0084"", ""FMOD0094""]","[""FMOD0025"", ""FMOD0060"", ""UNKNOWN""]",7,5,1,1
Q11A0112,ROBUSTNESS_MULTI_UNKNOWN,MU_2K3U,5,3,2,3,"[""FMOD0035"", ""FMOD0083""]","[""FMOD0028"", ""FMOD0062"", ""FMOD0084""]","[""FMOD0035"", ""FMOD0083"", ""UNKNOWN""]",7,5,1,1
