fragment_id,fresh_id,frozen_split,version_id,version_number,variant_index,hard_structured_components,own_current_exact_surviving_images,supports_A_5C_2S_1I,supports_B_5C_1S_2I,supports_C_4C_2S_2I
F6G000103,FMOD0025,TEST_KNOWN,SNCj2VQL,1.0.7,1,2,1,True,False,False
F6G000104,FMOD0025,TEST_KNOWN,SNCj2VQL,1.0.7,2,2,1,True,False,False
F6G000105,FMOD0025,TEST_KNOWN,SJkLNQa4,1.0.7,0,3,1,True,False,False
F6G000106,FMOD0025,TEST_KNOWN,SJkLNQa4,1.0.7,1,3,1,True,False,False
F6G000107,FMOD0025,TEST_KNOWN,SJkLNQa4,1.0.7,2,3,1,True,False,False
F6G000108,FMOD0025,TEST_KNOWN,tC2QcACf,1.0.6,0,2,1,True,False,False
F6G000109,FMOD0025,TEST_KNOWN,tC2QcACf,1.0.6,1,2,1,True,False,False
F6G000110,FMOD0025,TEST_KNOWN,tC2QcACf,1.0.6,2,2,1,True,False,False
F6G000111,FMOD0027,UNKNOWN_HELDOUT,hG50ZysI,1.3.1,0,388,49,True,True,True
F6G000112,FMOD0027,UNKNOWN_HELDOUT,hG50ZysI,1.3.1,1,388,49,True,True,True
F6G000113,FMOD0027,UNKNOWN_HELDOUT,NqyLpG4U,1.5.2,0,116,49,True,True,True
F6G000114,FMOD0027,UNKNOWN_HELDOUT,NqyLpG4U,1.5.2,1,116,49,True,True,True
F6G000115,FMOD0027,UNKNOWN_HELDOUT,NqyLpG4U,1.5.2,2,116,49,True,True,True
F6G000116,FMOD0027,UNKNOWN_HELDOUT,IqO5eD9D,1.5.1,0,116,49,True,True,True
F6G000117,FMOD0027,UNKNOWN_HELDOUT,IqO5eD9D,1.5.1,1,116,49,True,True,True
F6G000118,FMOD0027,UNKNOWN_HELDOUT,IqO5eD9D,1.5.1,2,116,49,True,True,True
F6G000119,FMOD0028,UNKNOWN_HELDOUT,yq6ELvb5,3.6.4-1.19.2-Fabric,0,73,380,True,True,True
F6G000120,FMOD0028,UNKNOWN_HELDOUT,yq6ELvb5,3.6.4-1.19.2-Fabric,1,73,380,True,True,True
F6G000121,FMOD0028,UNKNOWN_HELDOUT,yq6ELvb5,3.6.4-1.19.2-Fabric,2,73,380,True,True,True
F6G000122,FMOD0028,UNKNOWN_HELDOUT,q0f0CFCT,3.7.3-1.20.1-Fabric,0,1575,390,True,True,True
F6G000123,FMOD0028,UNKNOWN_HELDOUT,q0f0CFCT,3.7.3-1.20.1-Fabric,1,1575,390,True,True,True
F6G000124,FMOD0028,UNKNOWN_HELDOUT,q0f0CFCT,3.7.3-1.20.1-Fabric,2,1575,390,True,True,True
F6G000125,FMOD0028,UNKNOWN_HELDOUT,6WA1Ywin,2.11.2-1.20.4-Fabric,0,387,124,True,True,True
F6G000126,FMOD0028,UNKNOWN_HELDOUT,6WA1Ywin,2.11.2-1.20.4-Fabric,1,387,124,True,True,True
F6G000127,FMOD0028,UNKNOWN_HELDOUT,6WA1Ywin,2.11.2-1.20.4-Fabric,2,387,124,True,True,True
F6G000128,FMOD0030,CALIBRATION_KNOWN,HqRCLOCI,1.5.3+26.1.2,0,12,201,True,True,True
F6G000129,FMOD0030,CALIBRATION_KNOWN,HqRCLOCI,1.5.3+26.1.2,1,12,201,True,True,True
F6G000130,FMOD0030,CALIBRATION_KNOWN,HqRCLOCI,1.5.3+26.1.2,2,12,201,True,True,True
F6G000131,FMOD0030,CALIBRATION_KNOWN,AsNvOJaM,1.4.5+1.21.11,0,13,185,True,True,True
F6G000132,FMOD0030,CALIBRATION_KNOWN,AsNvOJaM,1.4.5+1.21.11,1,13,185,True,True,True
F6G000133,FMOD0030,CALIBRATION_KNOWN,AsNvOJaM,1.4.5+1.21.11,2,13,185,True,True,True
F6G000142,FMOD0034,CALIBRATION_KNOWN,NIva5WdM,0.9.2,0,84,47,True,True,True
F6G000143,FMOD0034,CALIBRATION_KNOWN,NIva5WdM,0.9.2,1,84,47,True,True,True
F6G000144,FMOD0034,CALIBRATION_KNOWN,NIva5WdM,0.9.2,2,84,47,True,True,True
F6G000145,FMOD0034,CALIBRATION_KNOWN,fDrCPR5v,0.9.002,0,36,21,True,True,True
F6G000146,FMOD0034,CALIBRATION_KNOWN,fDrCPR5v,0.9.002,1,36,21,True,True,True
F6G000147,FMOD0034,CALIBRATION_KNOWN,fDrCPR5v,0.9.002,2,36,21,True,True,True
F6G000148,FMOD0034,CALIBRATION_KNOWN,C09ylE3W,0.9.001,0,36,21,True,True,True
F6G000149,FMOD0034,CALIBRATION_KNOWN,C09ylE3W,0.9.001,1,36,21,True,True,True
F6G000150,FMOD0034,CALIBRATION_KNOWN,C09ylE3W,0.9.001,2,36,21,True,True,True
F6G000151,FMOD0035,TEST_KNOWN,JlTOmyMX,2.11,0,122,325,True,True,True
F6G000152,FMOD0035,TEST_KNOWN,JlTOmyMX,2.11,1,122,325,True,True,True
F6G000153,FMOD0035,TEST_KNOWN,JlTOmyMX,2.11,2,122,325,True,True,True
F6G000154,FMOD0035,TEST_KNOWN,l1mX9QQ2,2.1,0,128,325,True,True,True
F6G000155,FMOD0035,TEST_KNOWN,l1mX9QQ2,2.1,1,128,325,True,True,True
F6G000156,FMOD0035,TEST_KNOWN,l1mX9QQ2,2.1,2,128,325,True,True,True
F6G000157,FMOD0035,TEST_KNOWN,wKpFuJ9e,2.0,0,44,277,True,True,True
F6G000158,FMOD0035,TEST_KNOWN,wKpFuJ9e,2.0,1,44,277,True,True,True
F6G000159,FMOD0035,TEST_KNOWN,wKpFuJ9e,2.0,2,44,277,True,True,True
F6G000160,FMOD0036,TEST_KNOWN,HYb9YxIC,8.7.3+26.2-fabric,0,1,50,False,True,False
F6G000161,FMOD0036,TEST_KNOWN,HYb9YxIC,8.7.3+26.2-fabric,1,1,50,False,True,False
F6G000162,FMOD0036,TEST_KNOWN,HYb9YxIC,8.7.3+26.2-fabric,2,1,50,False,True,False
F6G000163,FMOD0036,TEST_KNOWN,VykWiyXF,8.7.3+26.1.2-fabric,0,1,50,False,True,False
F6G000164,FMOD0036,TEST_KNOWN,VykWiyXF,8.7.3+26.1.2-fabric,1,1,50,False,True,False
F6G000165,FMOD0036,TEST_KNOWN,VykWiyXF,8.7.3+26.1.2-fabric,2,1,50,False,True,False
F6G000166,FMOD0036,TEST_KNOWN,PJLzJ0P2,8.7.3+1.21.11-fabric,0,1,50,False,True,False
F6G000167,FMOD0036,TEST_KNOWN,PJLzJ0P2,8.7.3+1.21.11-fabric,1,1,50,False,True,False
F6G000168,FMOD0036,TEST_KNOWN,PJLzJ0P2,8.7.3+1.21.11-fabric,2,1,50,False,True,False
F6G000169,FMOD0039,CALIBRATION_KNOWN,upn6SMbS,0.1.5-alpha+26.1.2,0,5,31,True,True,True
F6G000170,FMOD0039,CALIBRATION_KNOWN,upn6SMbS,0.1.5-alpha+26.1.2,1,5,31,True,True,True
F6G000171,FMOD0039,CALIBRATION_KNOWN,upn6SMbS,0.1.5-alpha+26.1.2,2,5,31,True,True,True
F6G000172,FMOD0039,CALIBRATION_KNOWN,VxN1g1Y5,0.1.3-alpha+26.1.2,0,2,31,True,True,True
F6G000173,FMOD0039,CALIBRATION_KNOWN,VxN1g1Y5,0.1.3-alpha+26.1.2,1,2,31,True,True,True
F6G000174,FMOD0039,CALIBRATION_KNOWN,VxN1g1Y5,0.1.3-alpha+26.1.2,2,2,31,True,True,True
F6G000175,FMOD0040,TEST_KNOWN,asBjkNgr,3.0.3-fabric+1.20.1,0,17,24,True,True,True
F6G000176,FMOD0040,TEST_KNOWN,asBjkNgr,3.0.3-fabric+1.20.1,1,17,24,True,True,True
F6G000177,FMOD0040,TEST_KNOWN,asBjkNgr,3.0.3-fabric+1.20.1,2,17,24,True,True,True
F6G000178,FMOD0040,TEST_KNOWN,oCv5DYNG,3.0.2-fabric+1.20.1,0,17,19,True,True,True
F6G000179,FMOD0040,TEST_KNOWN,oCv5DYNG,3.0.2-fabric+1.20.1,1,17,19,True,True,True
F6G000180,FMOD0040,TEST_KNOWN,oCv5DYNG,3.0.2-fabric+1.20.1,2,17,19,True,True,True
F6G000181,FMOD0041,CALIBRATION_KNOWN,NfEUeWdz,1.0.0-beta.21,0,2,7,True,True,True
F6G000182,FMOD0041,CALIBRATION_KNOWN,NfEUeWdz,1.0.0-beta.21,1,2,7,True,True,True
F6G000183,FMOD0041,CALIBRATION_KNOWN,NfEUeWdz,1.0.0-beta.21,2,2,7,True,True,True
F6G000184,FMOD0041,CALIBRATION_KNOWN,p20S0IgR,1.0.0-beta.20,0,89,7,True,True,True
F6G000185,FMOD0041,CALIBRATION_KNOWN,p20S0IgR,1.0.0-beta.20,1,89,7,True,True,True
F6G000186,FMOD0041,CALIBRATION_KNOWN,p20S0IgR,1.0.0-beta.20,2,89,7,True,True,True
F6G000187,FMOD0041,CALIBRATION_KNOWN,kmbSTFww,1.0.0-beta.20,0,89,7,True,True,True
F6G000188,FMOD0041,CALIBRATION_KNOWN,kmbSTFww,1.0.0-beta.20,1,89,7,True,True,True
F6G000189,FMOD0041,CALIBRATION_KNOWN,kmbSTFww,1.0.0-beta.20,2,89,7,True,True,True
F6G000190,FMOD0043,TEST_KNOWN,qgxpksqw,1.1.13,0,1,16,False,True,False
F6G000191,FMOD0043,TEST_KNOWN,qgxpksqw,1.1.13,1,1,16,False,True,False
F6G000192,FMOD0043,TEST_KNOWN,qgxpksqw,1.1.13,2,1,16,False,True,False
F6G000193,FMOD0043,TEST_KNOWN,17W1BifB,1.1.7,0,1,16,False,True,False
F6G000194,FMOD0043,TEST_KNOWN,17W1BifB,1.1.7,1,1,16,False,True,False
F6G000195,FMOD0043,TEST_KNOWN,17W1BifB,1.1.7,2,1,16,False,True,False
F6G000196,FMOD0043,TEST_KNOWN,fyaeSQYg,1.1.6,0,1,16,False,True,False
F6G000197,FMOD0043,TEST_KNOWN,fyaeSQYg,1.1.6,1,1,16,False,True,False
F6G000198,FMOD0043,TEST_KNOWN,fyaeSQYg,1.1.6,2,1,16,False,True,False
F6G000199,FMOD0044,TEST_KNOWN,mtRZjms7,1.0.3,0,3,1,True,False,False
F6G000200,FMOD0044,TEST_KNOWN,fz7xhfu5,1.0.1,0,4,1,True,False,False
F6G000201,FMOD0044,TEST_KNOWN,fz7xhfu5,1.0.1,1,4,1,True,False,False
F6G000202,FMOD0044,TEST_KNOWN,fz7xhfu5,1.0.1,2,4,1,True,False,False
F6G000203,FMOD0044,TEST_KNOWN,4o6d3Y7b,1.0.0,0,4,1,True,False,False
F6G000204,FMOD0044,TEST_KNOWN,4o6d3Y7b,1.0.0,1,4,1,True,False,False
F6G000205,FMOD0044,TEST_KNOWN,4o6d3Y7b,1.0.0,2,4,1,True,False,False
F6G000206,FMOD0045,CALIBRATION_KNOWN,zfwTwAkc,v1.0.0,0,3,3,True,True,True
F6G000207,FMOD0045,CALIBRATION_KNOWN,zfwTwAkc,v1.0.0,1,3,3,True,True,True
F6G000208,FMOD0045,CALIBRATION_KNOWN,zfwTwAkc,v1.0.0,2,3,3,True,True,True
F6G000209,FMOD0045,CALIBRATION_KNOWN,33WdtXc3,v1.0.0,0,2,3,True,True,True
F6G000210,FMOD0045,CALIBRATION_KNOWN,33WdtXc3,v1.0.0,1,2,3,True,True,True
F6G000211,FMOD0045,CALIBRATION_KNOWN,33WdtXc3,v1.0.0,2,2,3,True,True,True
F6G000212,FMOD0046,UNKNOWN_HELDOUT,6Pmao7Jm,2.3.1,0,9,43,True,True,True
F6G000213,FMOD0046,UNKNOWN_HELDOUT,6Pmao7Jm,2.3.1,1,9,43,True,True,True
F6G000214,FMOD0046,UNKNOWN_HELDOUT,6Pmao7Jm,2.3.1,2,9,43,True,True,True
F6G000215,FMOD0046,UNKNOWN_HELDOUT,sO1N59sM,2.3.0,0,9,43,True,True,True
F6G000216,FMOD0046,UNKNOWN_HELDOUT,sO1N59sM,2.3.0,1,9,43,True,True,True
F6G000217,FMOD0046,UNKNOWN_HELDOUT,sO1N59sM,2.3.0,2,9,43,True,True,True
F6G000218,FMOD0048,UNKNOWN_HELDOUT,nZ59rf82,1.2.0,0,1,150,False,True,False
F6G000219,FMOD0048,UNKNOWN_HELDOUT,nZ59rf82,1.2.0,1,1,150,False,True,False
F6G000220,FMOD0048,UNKNOWN_HELDOUT,nZ59rf82,1.2.0,2,1,150,False,True,False
F6G000221,FMOD0048,UNKNOWN_HELDOUT,C5PWbpKr,1.1.0,0,8,139,True,True,True
F6G000222,FMOD0048,UNKNOWN_HELDOUT,C5PWbpKr,1.1.0,1,8,139,True,True,True
F6G000223,FMOD0048,UNKNOWN_HELDOUT,C5PWbpKr,1.1.0,2,8,139,True,True,True
F6G000224,FMOD0050,TEST_KNOWN,m7qcoBP2,A0.4.1,0,2,1,True,False,False
F6G000225,FMOD0050,TEST_KNOWN,m7qcoBP2,A0.4.1,1,2,1,True,False,False
F6G000226,FMOD0050,TEST_KNOWN,pXinlWxx,A0.4,0,2,1,True,False,False
F6G000227,FMOD0050,TEST_KNOWN,pXinlWxx,A0.4,2,2,1,True,False,False
F6G000228,FMOD0050,TEST_KNOWN,8iqsxqzA,A0.3H1,0,2,1,True,False,False
F6G000229,FMOD0050,TEST_KNOWN,8iqsxqzA,A0.3H1,1,2,1,True,False,False
F6G000230,FMOD0051,TEST_KNOWN,jnH2yN9z,2.1.2-Fabric-mc1.20,0,9,9,True,True,True
F6G000231,FMOD0051,TEST_KNOWN,jnH2yN9z,2.1.2-Fabric-mc1.20,1,9,9,True,True,True
F6G000232,FMOD0051,TEST_KNOWN,jnH2yN9z,2.1.2-Fabric-mc1.20,2,9,9,True,True,True
F6G000233,FMOD0051,TEST_KNOWN,3gPteH7H,2.1.2-Fabric-mc1.21,0,9,9,True,True,True
F6G000234,FMOD0051,TEST_KNOWN,3gPteH7H,2.1.2-Fabric-mc1.21,1,9,9,True,True,True
F6G000235,FMOD0051,TEST_KNOWN,3gPteH7H,2.1.2-Fabric-mc1.21,2,9,9,True,True,True
F6G000236,FMOD0052,CALIBRATION_KNOWN,EULraVcl,3.0.0,0,2,1,True,False,False
F6G000237,FMOD0052,CALIBRATION_KNOWN,xqeOPHTm,2.0.2,0,2,1,True,False,False
F6G000238,FMOD0052,CALIBRATION_KNOWN,xqeOPHTm,2.0.2,1,2,1,True,False,False
F6G000239,FMOD0052,CALIBRATION_KNOWN,xqeOPHTm,2.0.2,2,2,1,True,False,False
F6G000240,FMOD0052,CALIBRATION_KNOWN,wsfQ6bXJ,2.0.0,0,2,1,True,False,False
F6G000241,FMOD0052,CALIBRATION_KNOWN,wsfQ6bXJ,2.0.0,1,2,1,True,False,False
F6G000242,FMOD0052,CALIBRATION_KNOWN,wsfQ6bXJ,2.0.0,2,2,1,True,False,False
F6G000243,FMOD0053,TEST_KNOWN,vB9Q7HEA,26.1x-fabric-1,0,4,16,True,True,True
F6G000244,FMOD0053,TEST_KNOWN,vB9Q7HEA,26.1x-fabric-1,1,4,16,True,True,True
F6G000245,FMOD0053,TEST_KNOWN,vB9Q7HEA,26.1x-fabric-1,2,4,16,True,True,True
F6G000246,FMOD0053,TEST_KNOWN,gTF5QTWo,1.21.11-fabric-2,0,4,16,True,True,True
F6G000247,FMOD0053,TEST_KNOWN,gTF5QTWo,1.21.11-fabric-2,1,4,16,True,True,True
F6G000248,FMOD0053,TEST_KNOWN,gTF5QTWo,1.21.11-fabric-2,2,4,16,True,True,True
F6G000249,FMOD0053,TEST_KNOWN,F3g7u9VM,1.21.11-fabric-1,0,4,16,True,True,True
F6G000250,FMOD0053,TEST_KNOWN,F3g7u9VM,1.21.11-fabric-1,1,4,16,True,True,True
F6G000251,FMOD0053,TEST_KNOWN,F3g7u9VM,1.21.11-fabric-1,2,4,16,True,True,True
F6G000252,FMOD0054,UNKNOWN_HELDOUT,mTr3ZiqZ,1.1.2,0,3,2,True,True,True
F6G000253,FMOD0054,UNKNOWN_HELDOUT,mTr3ZiqZ,1.1.2,1,3,2,True,True,True
F6G000254,FMOD0054,UNKNOWN_HELDOUT,NQ8mzQw2,1.1.1,0,3,2,True,True,True
F6G000255,FMOD0054,UNKNOWN_HELDOUT,NQ8mzQw2,1.1.1,1,3,2,True,True,True
F6G000256,FMOD0054,UNKNOWN_HELDOUT,NQ8mzQw2,1.1.1,2,3,2,True,True,True
F6G000257,FMOD0055,TEST_KNOWN,IlZ44NoT,1.1.2,0,5,54,True,True,True
F6G000258,FMOD0055,TEST_KNOWN,IlZ44NoT,1.1.2,1,5,54,True,True,True
F6G000259,FMOD0055,TEST_KNOWN,IlZ44NoT,1.1.2,2,5,54,True,True,True
F6G000260,FMOD0055,TEST_KNOWN,KkQzzHhm,1.1.1,0,5,54,True,True,True
F6G000261,FMOD0055,TEST_KNOWN,KkQzzHhm,1.1.1,1,5,54,True,True,True
F6G000262,FMOD0055,TEST_KNOWN,KkQzzHhm,1.1.1,2,5,54,True,True,True
F6G000263,FMOD0055,TEST_KNOWN,hmTUVDVo,1.1.0,0,5,54,True,True,True
F6G000264,FMOD0055,TEST_KNOWN,hmTUVDVo,1.1.0,1,5,54,True,True,True
F6G000265,FMOD0055,TEST_KNOWN,hmTUVDVo,1.1.0,2,5,54,True,True,True
F6G000266,FMOD0056,CALIBRATION_KNOWN,9YJCuU3X,2.2.0,0,6,6,True,True,True
F6G000267,FMOD0056,CALIBRATION_KNOWN,9YJCuU3X,2.2.0,1,6,6,True,True,True
F6G000268,FMOD0056,CALIBRATION_KNOWN,9YJCuU3X,2.2.0,2,6,6,True,True,True
F6G000269,FMOD0056,CALIBRATION_KNOWN,vJxaO6H1,2.2.0,0,6,6,True,True,True
F6G000270,FMOD0056,CALIBRATION_KNOWN,vJxaO6H1,2.2.0,1,6,6,True,True,True
F6G000271,FMOD0056,CALIBRATION_KNOWN,vJxaO6H1,2.2.0,2,6,6,True,True,True
F6G000272,FMOD0056,CALIBRATION_KNOWN,3szZLENi,2.2.0,0,4,6,True,True,True
F6G000273,FMOD0056,CALIBRATION_KNOWN,3szZLENi,2.2.0,1,4,6,True,True,True
F6G000274,FMOD0056,CALIBRATION_KNOWN,3szZLENi,2.2.0,2,4,6,True,True,True
F6G000275,FMOD0057,CALIBRATION_KNOWN,uWg4m1x5,6.3.1+1.21.8-fabric,0,15,2,True,True,True
F6G000276,FMOD0057,CALIBRATION_KNOWN,uWg4m1x5,6.3.1+1.21.8-fabric,1,15,2,True,True,True
F6G000277,FMOD0057,CALIBRATION_KNOWN,uWg4m1x5,6.3.1+1.21.8-fabric,2,15,2,True,True,True
F6G000278,FMOD0057,CALIBRATION_KNOWN,43qbjsIi,6.3.1+1.21.1-fabric,0,15,2,True,True,True
F6G000279,FMOD0057,CALIBRATION_KNOWN,43qbjsIi,6.3.1+1.21.1-fabric,1,15,2,True,True,True
F6G000280,FMOD0057,CALIBRATION_KNOWN,43qbjsIi,6.3.1+1.21.1-fabric,2,15,2,True,True,True
