query_id,node_id,stage,scenario,k_true,modality,ground_truth_label,source_fresh_id,source_version_id,source_version_number,source_fragment_id,source_fragment_node_id,source_relative_path,source_component_sha256,transform_recipe
Q6K00004,Q6K00004_N01,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0082,FMOD0082,qGdCrL3t,1.1.15,F6G000415,F6G000415_N0004,net/luckystudio/cozyhome/item/renderer/SofaItemRenderer.class,4818783dd9e71e119121804cad0958cc04f327d586dbe6305564780c4ec5699d,NONE
Q6K00004,Q6K00004_N02,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0082,FMOD0082,qGdCrL3t,1.1.15,F6G000415,F6G000415_N0002,net/luckystudio/cozyhome/block/custom/sofas/SofaBlock$Type.class,62268e84a8e84801197630b4965332dca7324e27ec9eb55d03307daba872e170,NONE
Q6K00004,Q6K00004_N03,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0082,FMOD0082,qGdCrL3t,1.1.15,F6G000415,F6G000415_N0005,net/luckystudio/cozyhome/block/ModBlocks.class,b91f3d5f19e62021cd746d69d33968e72a2f4509c195377912790de2a20e57ca,NONE
Q6K00004,Q6K00004_N04,CALIBRATION,CAL_KNOWN_K1,1,IMAGE,FMOD0082,FMOD0082,qGdCrL3t,1.1.15,F6G000415,,assets/cozyhome/textures/block/grandfather_clock/acacia_grandfather_clock_item.png,63a3c90d9e0eef60f5c36032065161b055baf01e6fd196c1e1fb64735887287d,LOSSLESS_REENCODE_PNG_V1
Q6K00004,Q6K00004_N05,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0082,FMOD0082,qGdCrL3t,1.1.15,F6G000415,F6G000415_N0003,net/luckystudio/cozyhome/block/custom/sofas/SofaBlock.class,9e07982260c60dc5532e613e7f139bdd0c36586075dd7b4f774f8e118558c50c,NONE
Q6K00004,Q6K00004_N06,CALIBRATION,CAL_KNOWN_K1,1,STRUCTURED,FMOD0082,FMOD0082,qGdCrL3t,1.1.15,F6G000415,,data/cozyhome/recipe/dark_oak_desk.json,99a5cd72dd4692ed3c0680d32a27c43b12905fd3977c082f2ccb30f56defe38d,NONE
Q6K00004,Q6K00004_N07,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0082,FMOD0082,qGdCrL3t,1.1.15,F6G000415,F6G000415_N0001,net/luckystudio/cozyhome/block/custom/sofas/SofaModel.class,c178e93051c9e93825b2bcae21c71240aa2cee7dcbbb67ddee7fcf63799d647b,NONE
Q6K00005,Q6K00005_N01,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0020,FMOD0020,YJB5Y1tt,1.11.7+1.21.1,F6G000077,F6G000077_N0005,io/github/apace100/origins/origin/Origin.class,cce544aa413de36d3969ee6ef340dea57ac2a61f359c30107441cef19ac01756,NONE
Q6K00005,Q6K00005_N02,CALIBRATION,CAL_KNOWN_K1,1,IMAGE,FMOD0020,FMOD0020,YJB5Y1tt,1.11.7+1.21.1,F6G000077,,assets/origins/textures/gui/community/spiderkolo/resource_bar_02.png,a623ce2e63af8536a8d08e7d978913fb1a9012eda7bd0f899ac7d32eaac1e9d7,LOSSLESS_REENCODE_PNG_V1
Q6K00005,Q6K00005_N03,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0020,FMOD0020,YJB5Y1tt,1.11.7+1.21.1,F6G000077,F6G000077_N0002,io/github/apace100/origins/networking/OriginListPacket.class,19f3ca13e4a2570455db7c278a45aeaabbbc389a4abef2635c573cff231cc77b,NONE
Q6K00005,Q6K00005_N04,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0020,FMOD0020,YJB5Y1tt,1.11.7+1.21.1,F6G000077,F6G000077_N0001,io/github/apace100/origins/screen/ViewOriginScreen.class,2452c35dad11f990f520fa545a5f484799dfab6307f831c485f744c7412c5fee,NONE
Q6K00005,Q6K00005_N05,CALIBRATION,CAL_KNOWN_K1,1,STRUCTURED,FMOD0020,FMOD0020,YJB5Y1tt,1.11.7+1.21.1,F6G000077,,fabric.mod.json,9b8166078214926346929c7c589ff14c5cb5df7408a4c3470f66d4bf0074960a,NONE
Q6K00005,Q6K00005_N06,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0020,FMOD0020,YJB5Y1tt,1.11.7+1.21.1,F6G000077,F6G000077_N0003,io/github/apace100/origins/data/OriginsDataTypes.class,b699d594b799a2e3b6680de70beeb6d717eece1bb0a1e8a3675c759ff880e52e,NONE
Q6K00005,Q6K00005_N07,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0020,FMOD0020,YJB5Y1tt,1.11.7+1.21.1,F6G000077,F6G000077_N0004,io/github/apace100/origins/registry/ModComponents.class,2408faf371255adc15452a3c690691bc72dd42c987aeae7cfa3b87b3a03c5810,NONE
Q6K00006,Q6K00006_N01,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0081,FMOD0081,Uitrnhgs,0.1.0,F6G000411,F6G000411_N0002,net/frostytrix/echoesofantiquity/screen/ModScreenHandlers.class,2d03e04dbee5cb69f9d5466502dcfc4b6774c87614600d6e19517226d987ab63,NONE
Q6K00006,Q6K00006_N02,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0081,FMOD0081,Uitrnhgs,0.1.0,F6G000411,F6G000411_N0001,net/frostytrix/echoesofantiquity/EchoesOfAntiquityClient.class,465e32a73dd22997965d5a63b6d8acedd3a4307a088a4cf56c18afa680a400eb,NONE
Q6K00006,Q6K00006_N03,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0081,FMOD0081,Uitrnhgs,0.1.0,F6G000411,F6G000411_N0004,net/frostytrix/echoesofantiquity/block/entity/renderer/VoidPedestalBERenderer.class,c8d1f0bd636eb8b2686d2336b7fecb6512e743dbb9431d7edb79b04e294e2ed9,NONE
Q6K00006,Q6K00006_N04,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0081,FMOD0081,Uitrnhgs,0.1.0,F6G000411,F6G000411_N0005,net/frostytrix/echoesofantiquity/block/entity/renderer/WaystoneBERenderer.class,9f5a60daa6c07fee0d68058aa3a398f9ba255a37a8a39616b889b9c6a71af8c3,NONE
Q6K00006,Q6K00006_N05,CALIBRATION,CAL_KNOWN_K1,1,IMAGE,FMOD0081,FMOD0081,Uitrnhgs,0.1.0,F6G000411,,assets/echoesofantiquity/textures/block/uncrafter_top.png,a1202bf4c9895e0642c6a24460b4b38cde3d4b20105669e2f94427ed7d9bab03,LOSSLESS_REENCODE_PNG_V1
Q6K00006,Q6K00006_N06,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0081,FMOD0081,Uitrnhgs,0.1.0,F6G000411,F6G000411_N0003,net/frostytrix/echoesofantiquity/block/entity/custom/VoidPedestalBlockEntity.class,b193546ca9fa4c35577a4c6705fede4c502407cdd556a417e24bcf6df3ed78c3,NONE
Q6K00006,Q6K00006_N07,CALIBRATION,CAL_KNOWN_K1,1,STRUCTURED,FMOD0081,FMOD0081,Uitrnhgs,0.1.0,F6G000411,,assets/echoesofantiquity/models/item/relic_greatsword.json,aca33ca9140b98b25800ea4a92590d7a6723d194abd8ba2b460820c2e217a8a6,NONE
Q6K00007,Q6K00007_N01,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0030,FMOD0030,AsNvOJaM,1.4.5+1.21.11,F6G000133,F6G000133_N0003,de/fuballer/mcendgame/main/component/entity/custom/networking/EntityHookEntityPayloadRegisterer.class,05ce28041874ccba6551c8bf9a2e38cc06751d672c206de81aeb6309f7d9df51,NONE
Q6K00007,Q6K00007_N02,CALIBRATION,CAL_KNOWN_K1,1,IMAGE,FMOD0030,FMOD0030,AsNvOJaM,1.4.5+1.21.11,F6G000133,,assets/mcendgame/textures/entity/portal/default/portal_29.png,5069fef4f8f1898aa65a88789e6789f3b0b3211d9a0bacf973d7bca6fb87a476,LOSSLESS_REENCODE_PNG_V1
Q6K00007,Q6K00007_N03,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0030,FMOD0030,AsNvOJaM,1.4.5+1.21.11,F6G000133,F6G000133_N0002,de/fuballer/mcendgame/main/component/entity/custom/networking/EntityHookEntityPayload$Companion.class,41bed6f88e4ffc701f955227182e20ebcf2f1917433db2325f2c294ee11c5587,NONE
Q6K00007,Q6K00007_N04,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0030,FMOD0030,AsNvOJaM,1.4.5+1.21.11,F6G000133,F6G000133_N0004,de/fuballer/mcendgame/main/component/entity/custom/interfaces/HookAttackMob.class,6c05fb5d184ba7a15b0315a536c693f0336054f42b5c9db25f5b25a1edbf9f5f,NONE
Q6K00007,Q6K00007_N05,CALIBRATION,CAL_KNOWN_K1,1,STRUCTURED,FMOD0030,FMOD0030,AsNvOJaM,1.4.5+1.21.11,F6G000133,,data/mcendgame/tags/block/dungeon_breakable.json,c40cecec5d9cd0a24022d4b691b53576f9c672001b521283af5e371556fb8e76,NONE
Q6K00007,Q6K00007_N06,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0030,FMOD0030,AsNvOJaM,1.4.5+1.21.11,F6G000133,F6G000133_N0005,de/fuballer/mcendgame/main/component/entity/custom/networking/EntityHookEntityPayload.class,42bf4ab7f0be153db434e9f0cb5c017c15c1bdc0e3a37fb07c9537ef5d274e4d,NONE
Q6K00007,Q6K00007_N07,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0030,FMOD0030,AsNvOJaM,1.4.5+1.21.11,F6G000133,F6G000133_N0001,de/fuballer/mcendgame/client/component/entity/custom/networking/EntityHookEntityPayloadReceiverRegisterer.class,c415e00571a2999a5f35704524f6fcf62e5ed4bae2d328456821767216258571,NONE
Q6K00008,Q6K00008_N01,CALIBRATION,CAL_KNOWN_K1,1,IMAGE,FMOD0056,FMOD0056,9YJCuU3X,2.2.0,F6G000267,,assets/better_revive/textures/item/revive_scroll.png,ad35e4462a70275a5822eb3ad5026ecc9c55f889c58ebd24bf72dc97dd58b2b8,LOSSLESS_REENCODE_PNG_V1
Q6K00008,Q6K00008_N02,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0056,FMOD0056,9YJCuU3X,2.2.0,F6G000267,F6G000267_N0005,de/mrstilu2k6/better_revive/network/ServerPacketHandler.class,e01ba319df16d8d510ff0b8cd276c8b62731bc8dfebd002e162d0d0eea67c1d1,NONE
Q6K00008,Q6K00008_N03,CALIBRATION,CAL_KNOWN_K1,1,STRUCTURED,FMOD0056,FMOD0056,9YJCuU3X,2.2.0,F6G000267,,fabric.mod.json,3ac40c40028b0a9af2020c38f301e1e79a0c0b1bfc3811d82f79e448806791cd,NONE
Q6K00008,Q6K00008_N04,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0056,FMOD0056,9YJCuU3X,2.2.0,F6G000267,F6G000267_N0002,de/mrstilu2k6/better_revive/command/ModCommands.class,51a5fec1b196d4e549667a214304940930660786486150c7ae0d6e1442310957,NONE
Q6K00008,Q6K00008_N05,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0056,FMOD0056,9YJCuU3X,2.2.0,F6G000267,F6G000267_N0001,de/mrstilu2k6/better_revive/network/ModNetworking$AdminMenuActionPayload.class,0991728ebabadbccb2e8f1f19d8729f14c8a510b3c2aa07047d05c730be91617,NONE
Q6K00008,Q6K00008_N06,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0056,FMOD0056,9YJCuU3X,2.2.0,F6G000267,F6G000267_N0004,de/mrstilu2k6/better_revive/util/ServerRateLimiter.class,d6fa4f576d3321c9820ff83d295fcd94272e1692d5c18638203562655d84a84e,NONE
Q6K00008,Q6K00008_N07,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0056,FMOD0056,9YJCuU3X,2.2.0,F6G000267,F6G000267_N0003,de/mrstilu2k6/better_revive/network/ModNetworking$OpenAdminMenuPayload.class,76844f6a06b1e7ed81f4bd15b352b07ed9270d949ba47f84d0297414139fff5a,NONE
Q6K00009,Q6K00009_N01,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0034,FMOD0034,C09ylE3W,0.9.001,F6G000148,F6G000148_N0005,net/brixian/enderscapesdelight/block/EnderscapeDelightBlocks.class,4e38bf1b35b85d9bc964ff5c19a552a50bdd3e848f807a3e8c3e0c9126a17948,NONE
Q6K00009,Q6K00009_N02,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0034,FMOD0034,C09ylE3W,0.9.001,F6G000148,F6G000148_N0001,net/brixian/enderscapesdelight/data/RecipeDatagen.class,36f25d0d4e1db05e7ffaee47450b05ddf25bbfc05af94bd832882b070fdd0f9f,NONE
Q6K00009,Q6K00009_N03,CALIBRATION,CAL_KNOWN_K1,1,IMAGE,FMOD0034,FMOD0034,C09ylE3W,0.9.001,F6G000148,,assets/enderscapes-delight/textures/block/flanger_berry_crate_top.png,bc1f293b9cf36975fb1a63cf3851b9a31c853f5046f51cf8dff14f0efc4a9a53,LOSSLESS_REENCODE_PNG_V1
Q6K00009,Q6K00009_N04,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0034,FMOD0034,C09ylE3W,0.9.001,F6G000148,F6G000148_N0004,net/brixian/enderscapesdelight/data/RecipeDatagen$1.class,a7d525e803c693689875f472e6f2e383beee79eabf539e6d4a14c08ae5e7d592,NONE
Q6K00009,Q6K00009_N05,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0034,FMOD0034,C09ylE3W,0.9.001,F6G000148,F6G000148_N0002,net/brixian/enderscapesdelight/EnderscapesDelightDataGenerator.class,f22c8b2b1c5dd2aaabcd56bbde3e50e4f51b9656d908c1dc8b92c4d2f1f17acf,NONE
Q6K00009,Q6K00009_N06,CALIBRATION,CAL_KNOWN_K1,1,STRUCTURED,FMOD0034,FMOD0034,C09ylE3W,0.9.001,F6G000148,,data/farmersdelight/tags/item/snacks.json,04626570a364b9d3c7cdc3c5225b83ab4e6eacbfd2dd15cac4085d8419c5eb31,NONE
Q6K00009,Q6K00009_N07,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0034,FMOD0034,C09ylE3W,0.9.001,F6G000148,F6G000148_N0003,net/brixian/enderscapesdelight/data/ItemTagDatagen.class,c14df627688888e2e2f04685510c2cdb647d5062457e33cadb9aa36aba095482,NONE
Q6K00010,Q6K00010_N01,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0020,FMOD0020,YJB5Y1tt,1.11.7+1.21.1,F6G000075,F6G000075_N0001,io/github/apace100/origins/util/DebugInfo.class,d14e41eb6fbcbf9f07317c7120eec8ec1fbed4e36584593af7dc2196d7f7dab0,NONE
Q6K00010,Q6K00010_N02,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0020,FMOD0020,YJB5Y1tt,1.11.7+1.21.1,F6G000075,F6G000075_N0004,io/github/apace100/origins/registry/ModBlocks.class,98d9bdc5ab6a0b76dd27dc46cf57660b1b5b5f7965c2531c6142b7fc1fa306ac,NONE
Q6K00010,Q6K00010_N03,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0020,FMOD0020,YJB5Y1tt,1.11.7+1.21.1,F6G000075,F6G000075_N0002,io/github/apace100/origins/content/TemporaryCobwebBlock.class,8f5fc2298e002a93ee6b8db5224c623ffd09572097f975189503ef1ca99243aa,NONE
Q6K00010,Q6K00010_N04,CALIBRATION,CAL_KNOWN_K1,1,STRUCTURED,FMOD0020,FMOD0020,YJB5Y1tt,1.11.7+1.21.1,F6G000075,,Origins-Legacy-refmap.json,ee52b6866529875920e5aee390af3aa7e3be7d0f10dc6258d122fb05e4ff581e,NONE
Q6K00010,Q6K00010_N05,CALIBRATION,CAL_KNOWN_K1,1,IMAGE,FMOD0020,FMOD0020,YJB5Y1tt,1.11.7+1.21.1,F6G000075,,assets/origins/textures/gui/community/spiderkolo/resource_bar_02.png,a623ce2e63af8536a8d08e7d978913fb1a9012eda7bd0f899ac7d32eaac1e9d7,LOSSLESS_REENCODE_PNG_V1
Q6K00010,Q6K00010_N06,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0020,FMOD0020,YJB5Y1tt,1.11.7+1.21.1,F6G000075,F6G000075_N0005,io/github/apace100/origins/registry/ModLoot.class,7ef48bb9f7fd711942f9023e2998a25dd6805fb26beb550c5314fddce292cbfb,NONE
Q6K00010,Q6K00010_N07,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0020,FMOD0020,YJB5Y1tt,1.11.7+1.21.1,F6G000075,F6G000075_N0003,io/github/apace100/origins/Origins.class,eaba3b3ff5055dbd0a9a9df7b5103f0cd4ed9ae775739ddc536c9ac0e31c4817,NONE
Q6K00011,Q6K00011_N01,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0041,FMOD0041,p20S0IgR,1.0.0-beta.20,F6G000186,F6G000186_N0005,me/owdding/catharsis/generated/CatharsisCodecs$SkyBlockIdWidgetTooltipCodec$1$1$1.class,26f6aaf7f24bf39cb284ceba9ac91ef1e542c2dec07d79c2c282d80c5c3351bc,NONE
Q6K00011,Q6K00011_N02,CALIBRATION,CAL_KNOWN_K1,1,IMAGE,FMOD0041,FMOD0041,p20S0IgR,1.0.0-beta.20,F6G000186,,assets/catharsis/textures/gui/sprites/cog_highlighted.png,2a22fec675aa5b64b3d9e32b14a01c457b355856486321ac15aa4da7fa6257c2,LOSSLESS_REENCODE_PNG_V1
Q6K00011,Q6K00011_N03,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0041,FMOD0041,p20S0IgR,1.0.0-beta.20,F6G000186,F6G000186_N0003,me/owdding/catharsis/generated/CatharsisCodecs$SkyBlockIdWidgetTooltipCodec$1$1$4.class,c76b3431d5483ecc84d6ef0a65e4e853bbb3c1bf81938cd96311b6b91e18bb90,NONE
Q6K00011,Q6K00011_N04,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0041,FMOD0041,p20S0IgR,1.0.0-beta.20,F6G000186,F6G000186_N0004,me/owdding/catharsis/features/gui/modifications/elements/InteractionWidgetTooltip.class,ba90a2ca1f6d522081f0f78478b8e55534cd6b08b8af8f9c27e40c8cc39606a9,NONE
Q6K00011,Q6K00011_N05,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0041,FMOD0041,p20S0IgR,1.0.0-beta.20,F6G000186,F6G000186_N0001,me/owdding/catharsis/features/gui/modifications/elements/SkyBlockIdWidgetTooltip.class,80082db6fce9c991565e4df905133e3435498c4cdb5f7c69935829b24980252a,NONE
Q6K00011,Q6K00011_N06,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0041,FMOD0041,p20S0IgR,1.0.0-beta.20,F6G000186,F6G000186_N0002,me/owdding/catharsis/features/gui/modifications/elements/WidgetTooltips.class,cfe4e05c16dd9477d4212707d49c48ac7cbc6eeba7b9bdb41bab8f965f1fda2f,NONE
Q6K00011,Q6K00011_N07,CALIBRATION,CAL_KNOWN_K1,1,STRUCTURED,FMOD0041,FMOD0041,p20S0IgR,1.0.0-beta.20,F6G000186,,repo/guis/stats/farming/wild_rose_fortune/stats.json,af72b35086b965cf5d275c6c0f81a47405b65f7b0edd9ebbaddffa6a03bdbe5b,NONE
Q6K00012,Q6K00012_N01,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0045,FMOD0045,zfwTwAkc,v1.0.0,F6G000207,F6G000207_N0001,dev/arakoto/respite/LootInjector.class,abb86f1667294b714d3fe62302eb9d6feec1de438144a2d1c2f119e703ab7dca,NONE
Q6K00012,Q6K00012_N02,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0045,FMOD0045,zfwTwAkc,v1.0.0,F6G000207,F6G000207_N0004,dev/arakoto/respite/TotemOfRespiteItem.class,3873e69b3fb2c36ab77d875745beff6ea25473206668dd6844261d9abcfb1a59,NONE
