query_id,stage,scenario,k_true_actual_sources,k_target_collapsed_unknown,known_parent_count,unknown_parent_count,known_parent_ids,unknown_parent_ids_private,evaluation_parent_labels,component_count,code_count,structured_count,image_count,k_true,unknown_parent_ids,all_parent_ids
Q11A0026,TEST,MU_1K2U,3,2,1,2,"[""FMOD0050""]","[""FMOD0006"", ""FMOD0084""]","[""FMOD0050"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0050"", ""UNKNOWN""]"
Q11A0027,TEST,MU_1K2U,3,2,1,2,"[""FMOD0016""]","[""FMOD0009"", ""FMOD0090""]","[""FMOD0016"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0016"", ""UNKNOWN""]"
Q11A0028,TEST,MU_1K2U,3,2,1,2,"[""FMOD0014""]","[""FMOD0068"", ""FMOD0070""]","[""FMOD0014"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0014"", ""UNKNOWN""]"
Q11A0029,TEST,MU_1K2U,3,2,1,2,"[""FMOD0069""]","[""FMOD0046"", ""FMOD0084""]","[""FMOD0069"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0069"", ""UNKNOWN""]"
Q11A0030,TEST,MU_1K2U,3,2,1,2,"[""FMOD0040""]","[""FMOD0007"", ""FMOD0090""]","[""FMOD0040"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0040"", ""UNKNOWN""]"
Q11A0031,TEST,MU_2K2U,4,3,2,2,"[""FMOD0005"", ""FMOD0060""]","[""FMOD0028"", ""FMOD0046""]","[""FMOD0005"", ""FMOD0060"", ""UNKNOWN""]",7,5,1,1,3,"[""UNKNOWN""]","[""FMOD0005"", ""FMOD0060"", ""UNKNOWN""]"
Q11A0032,TEST,MU_2K2U,4,3,2,2,"[""FMOD0023"", ""FMOD0036""]","[""FMOD0028"", ""FMOD0085""]","[""FMOD0023"", ""FMOD0036"", ""UNKNOWN""]",7,5,1,1,3,"[""UNKNOWN""]","[""FMOD0023"", ""FMOD0036"", ""UNKNOWN""]"
Q11A0033,TEST,MU_2K2U,4,3,2,2,"[""FMOD0023"", ""FMOD0043""]","[""FMOD0062"", ""FMOD0090""]","[""FMOD0023"", ""FMOD0043"", ""UNKNOWN""]",7,5,1,1,3,"[""UNKNOWN""]","[""FMOD0023"", ""FMOD0043"", ""UNKNOWN""]"
Q11A0034,TEST,MU_2K2U,4,3,2,2,"[""FMOD0025"", ""FMOD0043""]","[""FMOD0009"", ""FMOD0084""]","[""FMOD0025"", ""FMOD0043"", ""UNKNOWN""]",7,5,1,1,3,"[""UNKNOWN""]","[""FMOD0025"", ""FMOD0043"", ""UNKNOWN""]"
Q11A0035,TEST,MU_2K2U,4,3,2,2,"[""FMOD0035"", ""FMOD0055""]","[""FMOD0070"", ""FMOD0084""]","[""FMOD0035"", ""FMOD0055"", ""UNKNOWN""]",7,5,1,1,3,"[""UNKNOWN""]","[""FMOD0035"", ""FMOD0055"", ""UNKNOWN""]"
Q11A0036,TEST,MU_2K2U,4,3,2,2,"[""FMOD0003"", ""FMOD0087""]","[""FMOD0009"", ""FMOD0027""]","[""FMOD0003"", ""FMOD0087"", ""UNKNOWN""]",7,5,1,1,3,"[""UNKNOWN""]","[""FMOD0003"", ""FMOD0087"", ""UNKNOWN""]"
Q11A0037,TEST,MU_2K2U,4,3,2,2,"[""FMOD0014"", ""FMOD0077""]","[""FMOD0046"", ""FMOD0090""]","[""FMOD0014"", ""FMOD0077"", ""UNKNOWN""]",7,5,1,1,3,"[""UNKNOWN""]","[""FMOD0014"", ""FMOD0077"", ""UNKNOWN""]"
Q11A0038,TEST,MU_2K2U,4,3,2,2,"[""FMOD0003"", ""FMOD0025""]","[""FMOD0048"", ""FMOD0062""]","[""FMOD0003"", ""FMOD0025"", ""UNKNOWN""]",7,5,1,1,3,"[""UNKNOWN""]","[""FMOD0003"", ""FMOD0025"", ""UNKNOWN""]"
Q11A0039,TEST,MU_2K2U,4,3,2,2,"[""FMOD0023"", ""FMOD0096""]","[""FMOD0007"", ""FMOD0028""]","[""FMOD0023"", ""FMOD0096"", ""UNKNOWN""]",7,5,1,1,3,"[""UNKNOWN""]","[""FMOD0023"", ""FMOD0096"", ""UNKNOWN""]"
Q11A0040,TEST,MU_2K2U,4,3,2,2,"[""FMOD0061"", ""FMOD0083""]","[""FMOD0007"", ""FMOD0068""]","[""FMOD0061"", ""FMOD0083"", ""UNKNOWN""]",7,5,1,1,3,"[""UNKNOWN""]","[""FMOD0061"", ""FMOD0083"", ""UNKNOWN""]"
Q11A0041,TEST,MU_2K2U,4,3,2,2,"[""FMOD0040"", ""FMOD0060""]","[""FMOD0070"", ""FMOD0084""]","[""FMOD0040"", ""FMOD0060"", ""UNKNOWN""]",7,5,1,1,3,"[""UNKNOWN""]","[""FMOD0040"", ""FMOD0060"", ""UNKNOWN""]"
Q11A0042,TEST,MU_2K2U,4,3,2,2,"[""FMOD0011"", ""FMOD0077""]","[""FMOD0048"", ""FMOD0094""]","[""FMOD0011"", ""FMOD0077"", ""UNKNOWN""]",7,5,1,1,3,"[""UNKNOWN""]","[""FMOD0011"", ""FMOD0077"", ""UNKNOWN""]"
Q11A0043,TEST,MU_2K2U,4,3,2,2,"[""FMOD0004"", ""FMOD0060""]","[""FMOD0048"", ""FMOD0090""]","[""FMOD0004"", ""FMOD0060"", ""UNKNOWN""]",7,5,1,1,3,"[""UNKNOWN""]","[""FMOD0004"", ""FMOD0060"", ""UNKNOWN""]"
Q11A0044,TEST,MU_2K2U,4,3,2,2,"[""FMOD0011"", ""FMOD0096""]","[""FMOD0028"", ""FMOD0094""]","[""FMOD0011"", ""FMOD0096"", ""UNKNOWN""]",7,5,1,1,3,"[""UNKNOWN""]","[""FMOD0011"", ""FMOD0096"", ""UNKNOWN""]"
Q11A0045,TEST,MU_2K2U,4,3,2,2,"[""FMOD0022"", ""FMOD0069""]","[""FMOD0006"", ""FMOD0046""]","[""FMOD0022"", ""FMOD0069"", ""UNKNOWN""]",7,5,1,1,3,"[""UNKNOWN""]","[""FMOD0022"", ""FMOD0069"", ""UNKNOWN""]"
Q11A0046,TEST,MU_2K2U,4,3,2,2,"[""FMOD0035"", ""FMOD0036""]","[""FMOD0068"", ""FMOD0094""]","[""FMOD0035"", ""FMOD0036"", ""UNKNOWN""]",7,5,1,1,3,"[""UNKNOWN""]","[""FMOD0035"", ""FMOD0036"", ""UNKNOWN""]"
Q11A0047,TEST,MU_2K2U,4,3,2,2,"[""FMOD0036"", ""FMOD0069""]","[""FMOD0027"", ""FMOD0046""]","[""FMOD0036"", ""FMOD0069"", ""UNKNOWN""]",7,5,1,1,3,"[""UNKNOWN""]","[""FMOD0036"", ""FMOD0069"", ""UNKNOWN""]"
Q11A0048,TEST,MU_2K2U,4,3,2,2,"[""FMOD0003"", ""FMOD0055""]","[""FMOD0046"", ""FMOD0084""]","[""FMOD0003"", ""FMOD0055"", ""UNKNOWN""]",7,5,1,1,3,"[""UNKNOWN""]","[""FMOD0003"", ""FMOD0055"", ""UNKNOWN""]"
Q11A0049,TEST,MU_2K2U,4,3,2,2,"[""FMOD0035"", ""FMOD0083""]","[""FMOD0007"", ""FMOD0046""]","[""FMOD0035"", ""FMOD0083"", ""UNKNOWN""]",7,5,1,1,3,"[""UNKNOWN""]","[""FMOD0035"", ""FMOD0083"", ""UNKNOWN""]"
Q11A0050,TEST,MU_2K2U,4,3,2,2,"[""FMOD0066"", ""FMOD0083""]","[""FMOD0006"", ""FMOD0009""]","[""FMOD0066"", ""FMOD0083"", ""UNKNOWN""]",7,5,1,1,3,"[""UNKNOWN""]","[""FMOD0066"", ""FMOD0083"", ""UNKNOWN""]"
Q11A0051,TEST,MU_2K2U,4,3,2,2,"[""FMOD0001"", ""FMOD0077""]","[""FMOD0006"", ""FMOD0084""]","[""FMOD0001"", ""FMOD0077"", ""UNKNOWN""]",7,5,1,1,3,"[""UNKNOWN""]","[""FMOD0001"", ""FMOD0077"", ""UNKNOWN""]"
Q11A0052,TEST,MU_2K2U,4,3,2,2,"[""FMOD0055"", ""FMOD0096""]","[""FMOD0028"", ""FMOD0085""]","[""FMOD0055"", ""FMOD0096"", ""UNKNOWN""]",7,5,1,1,3,"[""UNKNOWN""]","[""FMOD0055"", ""FMOD0096"", ""UNKNOWN""]"
Q11A0053,TEST,MU_2K2U,4,3,2,2,"[""FMOD0067"", ""FMOD0099""]","[""FMOD0068"", ""FMOD0085""]","[""FMOD0067"", ""FMOD0099"", ""UNKNOWN""]",7,5,1,1,3,"[""UNKNOWN""]","[""FMOD0067"", ""FMOD0099"", ""UNKNOWN""]"
Q11A0054,TEST,MU_2K2U,4,3,2,2,"[""FMOD0035"", ""FMOD0089""]","[""FMOD0007"", ""FMOD0046""]","[""FMOD0035"", ""FMOD0089"", ""UNKNOWN""]",7,5,1,1,3,"[""UNKNOWN""]","[""FMOD0035"", ""FMOD0089"", ""UNKNOWN""]"
Q11A0055,TEST,MU_2K2U,4,3,2,2,"[""FMOD0005"", ""FMOD0089""]","[""FMOD0007"", ""FMOD0085""]","[""FMOD0005"", ""FMOD0089"", ""UNKNOWN""]",7,5,1,1,3,"[""UNKNOWN""]","[""FMOD0005"", ""FMOD0089"", ""UNKNOWN""]"
Q11A0056,TEST,MU_2K2U,4,3,2,2,"[""FMOD0016"", ""FMOD0051""]","[""FMOD0070"", ""FMOD0094""]","[""FMOD0016"", ""FMOD0051"", ""UNKNOWN""]",7,5,1,1,3,"[""UNKNOWN""]","[""FMOD0016"", ""FMOD0051"", ""UNKNOWN""]"
Q11A0057,TEST,MU_2K2U,4,3,2,2,"[""FMOD0005"", ""FMOD0087""]","[""FMOD0006"", ""FMOD0085""]","[""FMOD0005"", ""FMOD0087"", ""UNKNOWN""]",7,5,1,1,3,"[""UNKNOWN""]","[""FMOD0005"", ""FMOD0087"", ""UNKNOWN""]"
Q11A0058,TEST,MU_2K2U,4,3,2,2,"[""FMOD0035"", ""FMOD0053""]","[""FMOD0062"", ""FMOD0084""]","[""FMOD0035"", ""FMOD0053"", ""UNKNOWN""]",7,5,1,1,3,"[""UNKNOWN""]","[""FMOD0035"", ""FMOD0053"", ""UNKNOWN""]"
Q11A0059,TEST,MU_2K2U,4,3,2,2,"[""FMOD0016"", ""FMOD0053""]","[""FMOD0007"", ""FMOD0068""]","[""FMOD0016"", ""FMOD0053"", ""UNKNOWN""]",7,5,1,1,3,"[""UNKNOWN""]","[""FMOD0016"", ""FMOD0053"", ""UNKNOWN""]"
Q11A0060,TEST,MU_2K2U,4,3,2,2,"[""FMOD0050"", ""FMOD0077""]","[""FMOD0084"", ""FMOD0090""]","[""FMOD0050"", ""FMOD0077"", ""UNKNOWN""]",7,5,1,1,3,"[""UNKNOWN""]","[""FMOD0050"", ""FMOD0077"", ""UNKNOWN""]"
Q11A0061,TEST,MU_1K3U,4,2,1,3,"[""FMOD0067""]","[""FMOD0046"", ""FMOD0054"", ""FMOD0070""]","[""FMOD0067"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0067"", ""UNKNOWN""]"
Q11A0062,TEST,MU_1K3U,4,2,1,3,"[""FMOD0011""]","[""FMOD0006"", ""FMOD0090"", ""FMOD0094""]","[""FMOD0011"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0011"", ""UNKNOWN""]"
Q11A0063,TEST,MU_1K3U,4,2,1,3,"[""FMOD0003""]","[""FMOD0009"", ""FMOD0054"", ""FMOD0084""]","[""FMOD0003"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0003"", ""UNKNOWN""]"
Q11A0064,TEST,MU_1K3U,4,2,1,3,"[""FMOD0005""]","[""FMOD0028"", ""FMOD0046"", ""FMOD0094""]","[""FMOD0005"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0005"", ""UNKNOWN""]"
Q11A0065,TEST,MU_1K3U,4,2,1,3,"[""FMOD0055""]","[""FMOD0006"", ""FMOD0062"", ""FMOD0094""]","[""FMOD0055"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0055"", ""UNKNOWN""]"
Q11A0066,TEST,MU_1K3U,4,2,1,3,"[""FMOD0060""]","[""FMOD0062"", ""FMOD0084"", ""FMOD0090""]","[""FMOD0060"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0060"", ""UNKNOWN""]"
Q11A0067,TEST,MU_1K3U,4,2,1,3,"[""FMOD0096""]","[""FMOD0027"", ""FMOD0068"", ""FMOD0090""]","[""FMOD0096"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0096"", ""UNKNOWN""]"
Q11A0068,TEST,MU_1K3U,4,2,1,3,"[""FMOD0089""]","[""FMOD0028"", ""FMOD0054"", ""FMOD0094""]","[""FMOD0089"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0089"", ""UNKNOWN""]"
Q11A0069,TEST,MU_1K3U,4,2,1,3,"[""FMOD0096""]","[""FMOD0006"", ""FMOD0046"", ""FMOD0085""]","[""FMOD0096"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0096"", ""UNKNOWN""]"
Q11A0070,TEST,MU_1K3U,4,2,1,3,"[""FMOD0025""]","[""FMOD0028"", ""FMOD0054"", ""FMOD0085""]","[""FMOD0025"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0025"", ""UNKNOWN""]"
Q11A0071,TEST,MU_1K3U,4,2,1,3,"[""FMOD0016""]","[""FMOD0006"", ""FMOD0028"", ""FMOD0046""]","[""FMOD0016"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0016"", ""UNKNOWN""]"
Q11A0072,TEST,MU_1K3U,4,2,1,3,"[""FMOD0023""]","[""FMOD0046"", ""FMOD0048"", ""FMOD0068""]","[""FMOD0023"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0023"", ""UNKNOWN""]"
Q11A0073,TEST,MU_1K3U,4,2,1,3,"[""FMOD0022""]","[""FMOD0006"", ""FMOD0070"", ""FMOD0085""]","[""FMOD0022"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0022"", ""UNKNOWN""]"
Q11A0074,TEST,MU_1K3U,4,2,1,3,"[""FMOD0069""]","[""FMOD0028"", ""FMOD0054"", ""FMOD0068""]","[""FMOD0069"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0069"", ""UNKNOWN""]"
Q11A0075,TEST,MU_1K3U,4,2,1,3,"[""FMOD0067""]","[""FMOD0046"", ""FMOD0048"", ""FMOD0070""]","[""FMOD0067"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0067"", ""UNKNOWN""]"
Q11A0076,TEST,MU_1K3U,4,2,1,3,"[""FMOD0099""]","[""FMOD0007"", ""FMOD0009"", ""FMOD0070""]","[""FMOD0099"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0099"", ""UNKNOWN""]"
Q11A0077,TEST,MU_1K3U,4,2,1,3,"[""FMOD0050""]","[""FMOD0028"", ""FMOD0062"", ""FMOD0085""]","[""FMOD0050"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0050"", ""UNKNOWN""]"
Q11A0078,TEST,MU_1K3U,4,2,1,3,"[""FMOD0066""]","[""FMOD0006"", ""FMOD0048"", ""FMOD0090""]","[""FMOD0066"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0066"", ""UNKNOWN""]"
Q11A0079,TEST,MU_1K3U,4,2,1,3,"[""FMOD0074""]","[""FMOD0009"", ""FMOD0068"", ""FMOD0090""]","[""FMOD0074"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0074"", ""UNKNOWN""]"
Q11A0080,TEST,MU_1K3U,4,2,1,3,"[""FMOD0050""]","[""FMOD0027"", ""FMOD0046"", ""FMOD0085""]","[""FMOD0050"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0050"", ""UNKNOWN""]"
Q11A0081,TEST,MU_1K3U,4,2,1,3,"[""FMOD0099""]","[""FMOD0006"", ""FMOD0028"", ""FMOD0048""]","[""FMOD0099"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0099"", ""UNKNOWN""]"
Q11A0082,TEST,MU_1K3U,4,2,1,3,"[""FMOD0053""]","[""FMOD0027"", ""FMOD0028"", ""FMOD0046""]","[""FMOD0053"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0053"", ""UNKNOWN""]"
Q11A0083,TEST,MU_1K3U,4,2,1,3,"[""FMOD0035""]","[""FMOD0046"", ""FMOD0048"", ""FMOD0062""]","[""FMOD0035"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0035"", ""UNKNOWN""]"
Q11A0084,TEST,MU_1K3U,4,2,1,3,"[""FMOD0036""]","[""FMOD0009"", ""FMOD0046"", ""FMOD0090""]","[""FMOD0036"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0036"", ""UNKNOWN""]"
Q11A0085,TEST,MU_1K3U,4,2,1,3,"[""FMOD0096""]","[""FMOD0009"", ""FMOD0054"", ""FMOD0084""]","[""FMOD0096"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0096"", ""UNKNOWN""]"
Q11A0086,TEST,MU_1K3U,4,2,1,3,"[""FMOD0077""]","[""FMOD0048"", ""FMOD0054"", ""FMOD0090""]","[""FMOD0077"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0077"", ""UNKNOWN""]"
Q11A0087,TEST,MU_1K3U,4,2,1,3,"[""FMOD0083""]","[""FMOD0006"", ""FMOD0007"", ""FMOD0054""]","[""FMOD0083"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0083"", ""UNKNOWN""]"
Q11A0088,TEST,MU_1K3U,4,2,1,3,"[""FMOD0050""]","[""FMOD0007"", ""FMOD0054"", ""FMOD0062""]","[""FMOD0050"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0050"", ""UNKNOWN""]"
Q11A0089,TEST,MU_1K3U,4,2,1,3,"[""FMOD0044""]","[""FMOD0028"", ""FMOD0048"", ""FMOD0062""]","[""FMOD0044"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0044"", ""UNKNOWN""]"
Q11A0090,TEST,MU_1K3U,4,2,1,3,"[""FMOD0005""]","[""FMOD0009"", ""FMOD0085"", ""FMOD0090""]","[""FMOD0005"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0005"", ""UNKNOWN""]"
Q11A0091,TEST,MU_2K3U,5,3,2,3,"[""FMOD0023"", ""FMOD0025""]","[""FMOD0006"", ""FMOD0027"", ""FMOD0046""]","[""FMOD0023"", ""FMOD0025"", ""UNKNOWN""]",7,5,1,1,3,"[""UNKNOWN""]","[""FMOD0023"", ""FMOD0025"", ""UNKNOWN""]"
Q11A0092,TEST,MU_2K3U,5,3,2,3,"[""FMOD0061"", ""FMOD0089""]","[""FMOD0007"", ""FMOD0062"", ""FMOD0090""]","[""FMOD0061"", ""FMOD0089"", ""UNKNOWN""]",7,5,1,1,3,"[""UNKNOWN""]","[""FMOD0061"", ""FMOD0089"", ""UNKNOWN""]"
Q11A0093,TEST,MU_2K3U,5,3,2,3,"[""FMOD0077"", ""FMOD0083""]","[""FMOD0007"", ""FMOD0046"", ""FMOD0048""]","[""FMOD0077"", ""FMOD0083"", ""UNKNOWN""]",7,5,1,1,3,"[""UNKNOWN""]","[""FMOD0077"", ""FMOD0083"", ""UNKNOWN""]"
Q11A0094,TEST,MU_2K3U,5,3,2,3,"[""FMOD0011"", ""FMOD0087""]","[""FMOD0009"", ""FMOD0084"", ""FMOD0090""]","[""FMOD0011"", ""FMOD0087"", ""UNKNOWN""]",7,5,1,1,3,"[""UNKNOWN""]","[""FMOD0011"", ""FMOD0087"", ""UNKNOWN""]"
Q11A0095,TEST,MU_2K3U,5,3,2,3,"[""FMOD0040"", ""FMOD0074""]","[""FMOD0007"", ""FMOD0062"", ""FMOD0070""]","[""FMOD0040"", ""FMOD0074"", ""UNKNOWN""]",7,5,1,1,3,"[""UNKNOWN""]","[""FMOD0040"", ""FMOD0074"", ""UNKNOWN""]"
Q11A0096,TEST,MU_2K3U,5,3,2,3,"[""FMOD0043"", ""FMOD0074""]","[""FMOD0046"", ""FMOD0068"", ""FMOD0070""]","[""FMOD0043"", ""FMOD0074"", ""UNKNOWN""]",7,5,1,1,3,"[""UNKNOWN""]","[""FMOD0043"", ""FMOD0074"", ""UNKNOWN""]"
