query_id,original_k_true,hidden_parent,visible_true_parent_count,pseudo_unknown_parent_count,visible_true_parents,pseudo_unknown_component_count,visible_known_component_count
Q6K00038,1,FMOD0059,0,1,[],7,0
Q6K00039,1,FMOD0065,0,1,[],7,0
Q6K00040,1,FMOD0065,0,1,[],7,0
Q6K00041,1,FMOD0030,0,1,[],7,0
Q6K00042,1,FMOD0045,0,1,[],7,0
Q6K00043,1,FMOD0065,0,1,[],7,0
Q6K00044,1,FMOD0045,0,1,[],7,0
Q6K00045,1,FMOD0039,0,1,[],7,0
Q6K00046,1,FMOD0045,0,1,[],7,0
Q6K00047,1,FMOD0020,0,1,[],7,0
Q6K00048,1,FMOD0057,0,1,[],7,0
Q6K00049,1,FMOD0002,0,1,[],7,0
Q6K00050,1,FMOD0081,0,1,[],7,0
Q6K00051,1,FMOD0082,0,1,[],7,0
Q6K00052,1,FMOD0101,0,1,[],7,0
Q6K00053,1,FMOD0057,0,1,[],7,0
Q6K00054,1,FMOD0072,0,1,[],7,0
Q6K00055,1,FMOD0059,0,1,[],7,0
Q6K00056,1,FMOD0041,0,1,[],7,0
Q6K00057,1,FMOD0057,0,1,[],7,0
Q6K00058,1,FMOD0059,0,1,[],7,0
Q6K00059,1,FMOD0030,0,1,[],7,0
Q6K00060,1,FMOD0065,0,1,[],7,0
Q6K00061,2,FMOD0058,1,1,"[""FMOD0020""]",4,3
Q6K00062,2,FMOD0039,1,1,"[""FMOD0058""]",3,4
Q6K00063,2,FMOD0097,1,1,"[""FMOD0052""]",4,3
Q6K00064,2,FMOD0057,1,1,"[""FMOD0034""]",2,5
Q6K00065,2,FMOD0030,1,1,"[""FMOD0041""]",3,4
Q6K00066,2,FMOD0041,1,1,"[""FMOD0034""]",4,3
Q6K00067,2,FMOD0056,1,1,"[""FMOD0058""]",5,2
Q6K00068,2,FMOD0058,1,1,"[""FMOD0056""]",3,4
Q6K00069,2,FMOD0101,1,1,"[""FMOD0030""]",3,4
Q6K00070,2,FMOD0020,1,1,"[""FMOD0041""]",3,4
Q6K00071,2,FMOD0082,1,1,"[""FMOD0057""]",4,3
Q6K00072,2,FMOD0002,1,1,"[""FMOD0059""]",2,5
Q6K00073,2,FMOD0056,1,1,"[""FMOD0081""]",3,4
Q6K00074,2,FMOD0056,1,1,"[""FMOD0057""]",3,4
Q6K00075,2,FMOD0020,1,1,"[""FMOD0039""]",4,3
Q6K00076,2,FMOD0045,1,1,"[""FMOD0063""]",4,3
Q6K00077,2,FMOD0081,1,1,"[""FMOD0030""]",4,3
Q6K00078,2,FMOD0059,1,1,"[""FMOD0072""]",4,3
Q6K00079,2,FMOD0082,1,1,"[""FMOD0041""]",3,4
Q6K00080,2,FMOD0097,1,1,"[""FMOD0065""]",4,3
Q6K00081,2,FMOD0059,1,1,"[""FMOD0101""]",2,5
Q6K00082,2,FMOD0057,1,1,"[""FMOD0045""]",4,3
Q6K00083,2,FMOD0034,1,1,"[""FMOD0063""]",3,4
Q6K00084,2,FMOD0030,1,1,"[""FMOD0058""]",4,3
Q6K00085,2,FMOD0058,1,1,"[""FMOD0045""]",4,3
Q6K00086,2,FMOD0034,1,1,"[""FMOD0081""]",4,3
Q6K00087,2,FMOD0020,1,1,"[""FMOD0039""]",2,5
Q6K00088,2,FMOD0081,1,1,"[""FMOD0058""]",5,2
Q6K00089,2,FMOD0039,1,1,"[""FMOD0020""]",5,2
Q6K00090,2,FMOD0101,1,1,"[""FMOD0034""]",3,4
Q6K00091,2,FMOD0041,1,1,"[""FMOD0030""]",2,5
Q6K00092,2,FMOD0081,1,1,"[""FMOD0034""]",3,4
Q6K00093,2,FMOD0081,1,1,"[""FMOD0002""]",3,4
Q6K00094,2,FMOD0097,1,1,"[""FMOD0063""]",5,2
Q6K00095,2,FMOD0002,1,1,"[""FMOD0052""]",4,3
Q6K00096,2,FMOD0082,1,1,"[""FMOD0034""]",4,3
Q6K00097,2,FMOD0101,1,1,"[""FMOD0058""]",3,4
Q6K00098,2,FMOD0097,1,1,"[""FMOD0002""]",3,4
Q6K00099,2,FMOD0030,1,1,"[""FMOD0045""]",2,5
Q6K00100,2,FMOD0034,1,1,"[""FMOD0058""]",4,3
Q6K00101,2,FMOD0065,1,1,"[""FMOD0059""]",5,2
Q6K00102,2,FMOD0063,1,1,"[""FMOD0097""]",4,3
Q6K00103,2,FMOD0039,1,1,"[""FMOD0058""]",4,3
Q6K00104,2,FMOD0056,1,1,"[""FMOD0030""]",2,5
Q6K00105,2,FMOD0059,1,1,"[""FMOD0097""]",3,4
Q6K00106,2,FMOD0097,1,1,"[""FMOD0072""]",3,4
Q6K00107,2,FMOD0059,1,1,"[""FMOD0020""]",3,4
Q6K00108,2,FMOD0058,1,1,"[""FMOD0030""]",4,3
Q6K00109,2,FMOD0056,1,1,"[""FMOD0052""]",4,3
Q6K00110,2,FMOD0056,1,1,"[""FMOD0030""]",3,4
Q6K00111,2,FMOD0058,1,1,"[""FMOD0065""]",3,4
Q6K00112,2,FMOD0058,1,1,"[""FMOD0045""]",4,3
Q6K00113,2,FMOD0072,1,1,"[""FMOD0041""]",3,4
Q6K00114,2,FMOD0039,1,1,"[""FMOD0065""]",3,4
Q6K00115,2,FMOD0056,1,1,"[""FMOD0020""]",5,2
Q6K00116,2,FMOD0034,1,1,"[""FMOD0030""]",5,2
Q6K00117,2,FMOD0072,1,1,"[""FMOD0052""]",4,3
Q6K00118,2,FMOD0082,1,1,"[""FMOD0081""]",4,3
Q6K00119,2,FMOD0057,1,1,"[""FMOD0002""]",3,4
Q6K00120,2,FMOD0034,1,1,"[""FMOD0082""]",4,3
Q6K00121,3,FMOD0063,2,1,"[""FMOD0041"", ""FMOD0052""]",1,6
Q6K00122,3,FMOD0002,2,1,"[""FMOD0056"", ""FMOD0072""]",2,5
Q6K00123,3,FMOD0058,2,1,"[""FMOD0045"", ""FMOD0072""]",4,3
Q6K00124,3,FMOD0101,2,1,"[""FMOD0063"", ""FMOD0097""]",2,5
Q6K00125,3,FMOD0097,2,1,"[""FMOD0020"", ""FMOD0039""]",1,6
Q6K00126,3,FMOD0101,2,1,"[""FMOD0052"", ""FMOD0057""]",2,5
Q6K00127,3,FMOD0058,2,1,"[""FMOD0045"", ""FMOD0072""]",3,4
Q6K00128,3,FMOD0097,2,1,"[""FMOD0059"", ""FMOD0101""]",3,4
Q6K00129,3,FMOD0065,2,1,"[""FMOD0072"", ""FMOD0097""]",3,4
Q6K00130,3,FMOD0002,2,1,"[""FMOD0020"", ""FMOD0041""]",4,3
Q6K00131,3,FMOD0082,2,1,"[""FMOD0059"", ""FMOD0072""]",3,4
Q6K00132,3,FMOD0056,2,1,"[""FMOD0039"", ""FMOD0082""]",2,5
Q6K00133,3,FMOD0097,2,1,"[""FMOD0034"", ""FMOD0101""]",2,5
Q6K00134,3,FMOD0057,2,1,"[""FMOD0056"", ""FMOD0065""]",3,4
Q6K00135,3,FMOD0072,2,1,"[""FMOD0063"", ""FMOD0065""]",2,5
Q6K00136,3,FMOD0081,2,1,"[""FMOD0059"", ""FMOD0082""]",3,4
Q6K00137,3,FMOD0072,2,1,"[""FMOD0020"", ""FMOD0039""]",2,5
Q6K00138,3,FMOD0072,2,1,"[""FMOD0056"", ""FMOD0057""]",3,4
Q6K00139,3,FMOD0020,2,1,"[""FMOD0039"", ""FMOD0072""]",1,6
Q6K00140,3,FMOD0020,2,1,"[""FMOD0039"", ""FMOD0101""]",2,5
Q6K00141,3,FMOD0002,2,1,"[""FMOD0030"", ""FMOD0072""]",3,4
Q6K00142,3,FMOD0056,2,1,"[""FMOD0041"", ""FMOD0058""]",3,4
Q6K00143,3,FMOD0057,2,1,"[""FMOD0002"", ""FMOD0101""]",3,4
Q6K00144,3,FMOD0034,2,1,"[""FMOD0020"", ""FMOD0063""]",1,6
Q6K00145,3,FMOD0065,2,1,"[""FMOD0030"", ""FMOD0081""]",3,4
Q6K00146,3,FMOD0045,2,1,"[""FMOD0002"", ""FMOD0034""]",2,5
Q6K00147,3,FMOD0002,2,1,"[""FMOD0034"", ""FMOD0097""]",3,4
Q6K00148,3,FMOD0052,2,1,"[""FMOD0056"", ""FMOD0101""]",3,4
Q6K00149,3,FMOD0065,2,1,"[""FMOD0058"", ""FMOD0081""]",2,5
Q6K00150,3,FMOD0101,2,1,"[""FMOD0002"", ""FMOD0063""]",3,4
Q6K00151,3,FMOD0082,2,1,"[""FMOD0059"", ""FMOD0101""]",4,3
Q6K00152,3,FMOD0052,2,1,"[""FMOD0030"", ""FMOD0101""]",3,4
Q6K00153,3,FMOD0002,2,1,"[""FMOD0057"", ""FMOD0058""]",3,4
Q6K00154,3,FMOD0056,2,1,"[""FMOD0002"", ""FMOD0020""]",2,5
Q6K00155,3,FMOD0059,2,1,"[""FMOD0039"", ""FMOD0056""]",1,6
Q6K00156,3,FMOD0057,2,1,"[""FMOD0002"", ""FMOD0065""]",3,4
Q6K00157,3,FMOD0082,2,1,"[""FMOD0020"", ""FMOD0030""]",3,4
Q6K00158,3,FMOD0057,2,1,"[""FMOD0052"", ""FMOD0097""]",2,5
Q6K00159,3,FMOD0082,2,1,"[""FMOD0041"", ""FMOD0072""]",4,3
Q6K00160,3,FMOD0052,2,1,"[""FMOD0041"", ""FMOD0072""]",2,5
Q6K00161,3,FMOD0041,2,1,"[""FMOD0059"", ""FMOD0063""]",3,4
Q6K00162,3,FMOD0058,2,1,"[""FMOD0045"", ""FMOD0082""]",2,5
Q6K00163,3,FMOD0052,2,1,"[""FMOD0030"", ""FMOD0034""]",4,3
Q6K00164,3,FMOD0034,2,1,"[""FMOD0002"", ""FMOD0058""]",3,4
Q6K00165,3,FMOD0034,2,1,"[""FMOD0052"", ""FMOD0081""]",4,3
Q6K00166,3,FMOD0020,2,1,"[""FMOD0056"", ""FMOD0065""]",3,4
Q6K00167,3,FMOD0081,2,1,"[""FMOD0034"", ""FMOD0045""]",2,5
Q6K00168,3,FMOD0081,2,1,"[""FMOD0002"", ""FMOD0063""]",2,5
Q6K00169,3,FMOD0097,2,1,"[""FMOD0065"", ""FMOD0072""]",2,5
Q6K00170,3,FMOD0034,2,1,"[""FMOD0041"", ""FMOD0057""]",3,4
Q6K00171,3,FMOD0030,2,1,"[""FMOD0056"", ""FMOD0059""]",2,5
Q6K00172,3,FMOD0063,2,1,"[""FMOD0030"", ""FMOD0065""]",4,3
Q6K00173,3,FMOD0034,2,1,"[""FMOD0041"", ""FMOD0059""]",3,4
Q6K00174,3,FMOD0034,2,1,"[""FMOD0039"", ""FMOD0063""]",3,4
Q6K00175,3,FMOD0058,2,1,"[""FMOD0056"", ""FMOD0072""]",1,6
Q6K00176,3,FMOD0020,2,1,"[""FMOD0065"", ""FMOD0081""]",1,6
Q6K00177,3,FMOD0082,2,1,"[""FMOD0057"", ""FMOD0097""]",2,5
Q6K00178,3,FMOD0081,2,1,"[""FMOD0030"", ""FMOD0058""]",2,5
Q6K00179,3,FMOD0057,2,1,"[""FMOD0034"", ""FMOD0081""]",2,5
Q6K00180,3,FMOD0065,2,1,"[""FMOD0039"", ""FMOD0072""]",2,5
